barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
10 DE AGOSTO;CORDOBA;165643.0;143002.0;95000.0;427.0;320.0;338.0;929.0;440.0;646.0;14
16 DE NOVIEMBRE;CORDOBA;29167.0;5795.0;30000.0;107.0;26.0;121.0;387.0;208.0;278.0;3
9 DE JULIO;LA CALERA;69500.0;;69500.0;154.0;;154.0;278.0;;278.0;1
A.T.E.;CORDOBA;118650.0;56252.0;100400.0;718.0;370.0;718.0;960.0;381.0;1072.0;12
AATRA;CORDOBA;78000.0;;78000.0;39.0;;39.0;441.0;;441.0;1
ACOSTA;CORDOBA;41317.0;17582.0;34000.0;175.0;89.0;154.0;251.0;63.0;272.0;6
ALBERDI;CORDOBA;58406.0;43820.0;45000.0;861.0;293.0;880.0;635.0;304.0;586.0;570
ALEJANDRO CARBO;CORDOBA;28000.0;;28000.0;140.0;;140.0;241.0;;241.0;1
ALEJANDRO CENTENO;CORDOBA;185407.0;89205.0;150000.0;503.0;219.0;476.0;799.0;191.0;768.0;27
ALEM L.N.(E);CORDOBA;38000.0;;38000.0;250.0;;250.0;388.0;;388.0;1
ALEM L.N.(O);CORDOBA;53500.0;25929.0;47500.0;394.0;143.0;368.0;357.0;132.0;357.0;4
ALTA CORDOBA;CORDOBA;76452.0;51009.0;60000.0;790.0;355.0;817.0;605.0;255.0;581.0;424
ALTAMIRA;CORDOBA;60600.0;26424.0;58000.0;291.0;118.0;266.0;456.0;126.0;437.0;25
ALTO ALBERDI;CORDOBA;69329.0;48165.0;52000.0;734.0;387.0;778.0;537.0;193.0;541.0;435
ALTO GENERAL PAZ;CORDOBA;66606.0;39969.0;55000.0;525.0;563.0;375.0;433.0;187.0;451.0;41
ALTO HERMOSO;CORDOBA;190000.0;;190000.0;263.0;;263.0;1050.0;;1050.0;1
ALTO PALERMO;CORDOBA;211538.0;55317.0;240000.0;524.0;237.0;500.0;873.0;175.0;773.0;13
ALTO VERDE;CORDOBA;163575.0;79953.0;143000.0;888.0;887.0;558.0;804.0;205.0;759.0;109
ALTO WARCALDE;LA CALERA;290000.0;0.0;290000.0;697.0;31.0;701.0;1146.0;56.0;1151.0;4
ALTOS DE LA CALERA;LA CALERA;96867.0;30173.0;89000.0;607.0;258.0;664.0;876.0;283.0;810.0;15
ALTOS DE MANANTIALES;CORDOBA;188412.0;72300.0;195000.0;1009.0;315.0;904.0;1170.0;423.0;1368.0;17
ALTOS DE SAN MARTIN;CORDOBA;139167.0;63943.0;142500.0;624.0;177.0;633.0;807.0;248.0;842.0;12
ALTOS DE SANTA ANA;CORDOBA;57167.0;13512.0;52000.0;264.0;48.0;290.0;457.0;155.0;457.0;3
ALTOS DE VELEZ SARSFIELD;CORDOBA;84083.0;44824.0;77500.0;352.0;183.0;319.0;540.0;268.0;587.0;12
ALTOS DE VILLA CABRERA;CORDOBA;157217.0;52638.0;153500.0;573.0;289.0;499.0;841.0;220.0;895.0;18
ALTOS DE VILLA SOL;CORDOBA;139764.0;133492.0;100000.0;1357.0;274.0;1289.0;;;;39
ALTOS DEL CHATEAU;CORDOBA;516562.0;194284.0;560000.0;521.0;292.0;433.0;1372.0;313.0;1388.0;32
AMEGHINO NORTE;CORDOBA;39000.0;;39000.0;78.0;;78.0;307.0;;307.0;1
AMEGHINO SUD;CORDOBA;68833.0;18829.0;65000.0;268.0;117.0;224.0;403.0;114.0;455.0;12
AMP. LAS PALMAS;CORDOBA;52500.0;24749.0;52500.0;392.0;105.0;392.0;569.0;;569.0;2
AMP. PALMAR;CORDOBA;98000.0;;98000.0;389.0;;389.0;867.0;;867.0;1
AMP. PUEYRREDON;CORDOBA;74600.0;35750.0;74000.0;314.0;231.0;266.0;439.0;261.0;374.0;10
AMP. RESIDENCIAL AMERICA;CORDOBA;49800.0;16738.0;47000.0;233.0;117.0;188.0;377.0;133.0;342.0;15
AMP. ROSEDAL;CORDOBA;115000.0;;115000.0;436.0;;436.0;548.0;;548.0;1
AMP. SAN FERNANDO;CORDOBA;35000.0;;35000.0;85.0;;85.0;307.0;;307.0;1
AMP. SAN PABLO;CORDOBA;58455.0;24853.0;57000.0;486.0;253.0;492.0;531.0;234.0;377.0;11
AMPL. CERVECEROS;CORDOBA;28000.0;;28000.0;286.0;;286.0;359.0;;359.0;1
AMPL. LOS PLATANOS;CORDOBA;69000.0;;69000.0;225.0;;225.0;445.0;;445.0;1
AMPL. MATIENZO;CORDOBA;40000.0;;40000.0;533.0;;533.0;;;;1
AMPL. POETA LUGONES;CORDOBA;147500.0;102530.0;147500.0;448.0;231.0;448.0;998.0;357.0;998.0;2
AMPL. PRIMERO DE MAYO;CORDOBA;47000.0;2828.0;47000.0;159.0;44.0;159.0;630.0;467.0;630.0;2
ANISACATE;A.T.E.;31200.0;;31200.0;67.0;;67.0;297.0;;297.0;1
ARGUELLO;CORDOBA;171275.0;81160.0;160000.0;544.0;861.0;413.0;852.0;283.0;835.0;268
ARGUELLO LOURDES;CORDOBA;70000.0;;70000.0;138.0;;138.0;318.0;;318.0;1
ARGUELLO NORTE;CORDOBA;87906.0;50897.0;87000.0;311.0;278.0;191.0;559.0;255.0;570.0;32
ARTIGAS;CORDOBA;62667.0;13650.0;65000.0;312.0;96.0;310.0;534.0;209.0;433.0;3
AVENIDA;CORDOBA;97615.0;39619.0;90000.0;726.0;564.0;458.0;615.0;199.0;620.0;13
AYACUCHO;CORDOBA;134689.0;61681.0;119900.0;486.0;204.0;444.0;727.0;258.0;674.0;55
AYRES DEL SUR;CORDOBA;571316.0;112136.0;580000.0;695.0;317.0;590.0;1542.0;297.0;1583.0;19
BAJADA DE PIEDRA;CORDOBA;49000.0;;49000.0;258.0;;258.0;301.0;;301.0;1
BAJO GALAN;CORDOBA;50000.0;;50000.0;1000.0;;1000.0;;;;1
BAJO GENERAL PAZ;CORDOBA;71612.0;37951.0;55000.0;815.0;828.0;625.0;606.0;117.0;550.0;8
BAJO PALERMO;CORDOBA;122780.0;49011.0;110000.0;725.0;586.0;551.0;783.0;281.0;721.0;44
BALCONES DEL CHATEU;CORDOBA;90045.0;34227.0;78500.0;930.0;301.0;837.0;787.0;;787.0;31
BARRANCAS DEL SUR;CORDOBA;596250.0;61288.0;597500.0;596.0;61.0;598.0;1441.0;137.0;1454.0;4
BARRANCAS NORTE;CORDOBA;549000.0;97581.0;549000.0;525.0;79.0;525.0;1212.0;408.0;1212.0;2
BARRIO NORTE;VILLA ALLENDE;72800.0;15922.0;70000.0;427.0;111.0;403.0;665.0;143.0;700.0;10
BELLA VISTA;CORDOBA;47361.0;27271.0;37500.0;234.0;144.0;179.0;335.0;128.0;297.0;23
BELLA VISTA OESTE;CORDOBA;25000.0;;25000.0;439.0;;439.0;;;;1
BIALET MASSE;CORDOBA;85538.0;61226.0;80000.0;323.0;373.0;212.0;683.0;493.0;591.0;13
BOSQUE ALEGRE;VILLA ALLENDE;360000.0;0.0;360000.0;207.0;0.0;207.0;996.0;6.0;996.0;2
BOWER;CORDOBA;78000.0;;78000.0;98.0;;98.0;1114.0;;1114.0;1
BRIGADIER SAN MARTIN;CORDOBA;64000.0;19799.0;64000.0;239.0;64.0;239.0;341.0;61.0;341.0;2
CABANA DEL PILAR;CORDOBA;84500.0;36062.0;84500.0;989.0;547.0;989.0;;;;2
CABILDO;CORDOBA;42857.0;14531.0;45000.0;159.0;51.0;159.0;382.0;88.0;380.0;7
CABO FARINA;CORDOBA;82429.0;63950.0;65000.0;174.0;74.0;195.0;565.0;463.0;409.0;7
CACERES;CORDOBA;58000.0;31113.0;58000.0;241.0;36.0;241.0;440.0;43.0;440.0;2
CALERA CENTRAL;LA CALERA;84500.0;707.0;84500.0;416.0;218.0;416.0;560.0;;560.0;2
CALIFORNIA;CORDOBA;62500.0;43023.0;51500.0;485.0;164.0;527.0;579.0;53.0;579.0;4
CAMINO SAN ANTONIO;CORDOBA;336667.0;2887.0;335000.0;768.0;605.0;831.0;1043.0;265.0;957.0;3
CAMINO SAN CARLOS;CORDOBA;175000.0;;175000.0;1029.0;;1029.0;;;;1
CAMPINAS DEL SUR;CORDOBA;428000.0;59224.0;420000.0;285.0;39.0;280.0;1070.0;237.0;1200.0;5
CANITAS;CORDOBA;210917.0;46141.0;210000.0;768.0;276.0;790.0;1141.0;196.0;1114.0;24
CANUELAS;CORDOBA;419974.0;181792.0;520000.0;640.0;361.0;413.0;1383.0;248.0;1396.0;38
CANUELAS CHICOS;CORDOBA;189900.0;33531.0;185000.0;1062.0;165.0;1028.0;1097.0;137.0;1108.0;30
CARRARA DE HORIZONTE;CORDOBA;32444.0;9554.0;30000.0;222.0;106.0;192.0;549.0;135.0;600.0;9
CASEROS;CORDOBA;93000.0;32741.0;85000.0;460.0;90.0;433.0;715.0;82.0;715.0;3
CASONAS DE PARQUE;CORDOBA;260000.0;;260000.0;2167.0;;2167.0;;;;1
CASONAS DE VALPARAISO;CORDOBA;256667.0;40415.0;280000.0;2022.0;269.0;1867.0;;;;3
CASONAS DEL SUR I;CORDOBA;198000.0;;198000.0;2475.0;;2475.0;;;;1
CASONAS DEL SUR II;CORDOBA;155000.0;0.0;155000.0;1146.0;206.0;1146.0;;;;2
CENTENARIO;CORDOBA;157400.0;77505.0;142500.0;523.0;259.0;502.0;803.0;171.0;798.0;20
CENTRO;CORDOBA;83816.0;69721.0;61500.0;998.0;434.0;978.0;853.0;342.0;824.0;1002
CENTRO;LA CALERA;103429.0;60821.0;85000.0;464.0;279.0;386.0;757.0;281.0;642.0;28
CENTRO AMERICA;CORDOBA;71676.0;28698.0;62000.0;333.0;227.0;267.0;450.0;147.0;400.0;25
CENTRO DE VILLA ALLENDE;VILLA ALLENDE;125657.0;75665.0;96000.0;610.0;405.0;500.0;910.0;473.0;874.0;47
CERRO CHICO;CORDOBA;161050.0;99162.0;135000.0;519.0;205.0;457.0;909.0;252.0;897.0;20
CERRO DE LAS ROSAS;CORDOBA;269545.0;127564.0;245000.0;627.0;526.0;444.0;923.0;380.0;840.0;293
CERRO NORTE;CORDOBA;68692.0;27164.0;65000.0;303.0;119.0;326.0;643.0;227.0;679.0;13
CERVECEROS;CORDOBA;66000.0;15909.0;68000.0;253.0;100.0;247.0;489.0;92.0;453.0;10
CHACRA DEL NORTE;CORDOBA;172526.0;34335.0;169000.0;883.0;155.0;907.0;1037.0;140.0;1028.0;90
CHACRA DEL SUR;CORDOBA;168600.0;12403.0;173000.0;950.0;195.0;961.0;994.0;79.0;989.0;15
CHACRAS DE LA VILLA;VILLA ALLENDE;356485.0;83290.0;345000.0;370.0;302.0;311.0;1164.0;254.0;1143.0;39
CHATEAU CARRERAS;CORDOBA;134770.0;55879.0;125000.0;1277.0;726.0;1389.0;726.0;223.0;725.0;80
CINCO LOMAS;LA CALERA;393636.0;80377.0;375000.0;318.0;231.0;234.0;1006.0;301.0;1071.0;11
CIUDADELA;CORDOBA;122000.0;81727.0;80000.0;705.0;641.0;322.0;640.0;273.0;637.0;7
CLAROS DEL BOSQUE;CORDOBA;172700.0;61367.0;162500.0;789.0;185.0;767.0;1106.0;235.0;1050.0;40
COFICO;CORDOBA;82324.0;54881.0;60000.0;1021.0;306.0;1044.0;736.0;233.0;720.0;310
COLINAS DE BELLA VISTA;CORDOBA;45000.0;;45000.0;300.0;;300.0;600.0;;600.0;1
COLINAS DE MANANTIALES;CORDOBA;131000.0;32197.0;130000.0;655.0;93.0;663.0;996.0;206.0;1024.0;7
COLINAS DE V. SARSFIELD;CORDOBA;108206.0;38566.0;105000.0;448.0;266.0;412.0;637.0;210.0;617.0;48
COLINAS DEL CERRO;CORDOBA;174211.0;123087.0;139000.0;583.0;365.0;559.0;866.0;251.0;922.0;19
COLON;CORDOBA;82644.0;45445.0;70000.0;365.0;165.0;335.0;500.0;214.0;451.0;45
COMARCA DE ALLENDE;CORDOBA;150250.0;40655.0;150000.0;452.0;166.0;415.0;928.0;106.0;926.0;16
COMARCA DE ALLENDE;VILLA ALLENDE;153746.0;27657.0;157500.0;498.0;228.0;444.0;927.0;170.0;929.0;28
COMERCIAL;CORDOBA;162667.0;190437.0;83000.0;387.0;326.0;250.0;584.0;92.0;584.0;3
CONDOR;CORDOBA;175000.0;;175000.0;547.0;;547.0;875.0;;875.0;1
CONDOR ALTO;VILLA ALLENDE;211843.0;117025.0;185000.0;439.0;460.0;211.0;761.0;311.0;808.0;32
CONDOR BAJO;VILLA ALLENDE;164750.0;111963.0;140500.0;509.0;427.0;362.0;1112.0;638.0;1125.0;8
CONGRESO;CORDOBA;30375.0;5154.0;31750.0;101.0;17.0;106.0;456.0;429.0;323.0;4
CORRAL DE PALOS;CORDOBA;45000.0;4243.0;45000.0;149.0;50.0;149.0;380.0;141.0;380.0;2
COUNTRY CLUB;CORDOBA;613333.0;70946.0;600000.0;652.0;403.0;593.0;1492.0;516.0;1446.0;3
COVICO;LA CALERA;38000.0;12124.0;45000.0;546.0;167.0;643.0;;;;3
CRISOL NORTE;CORDOBA;83054.0;29131.0;80000.0;795.0;484.0;800.0;634.0;237.0;595.0;35
CRISOL SUD;CORDOBA;105375.0;50596.0;94000.0;488.0;246.0;417.0;546.0;166.0;547.0;40
CUATRO HOJAS;CORDOBA;223111.0;54538.0;230000.0;270.0;263.0;184.0;952.0;442.0;920.0;9
CUATRO HOJAS;MENDIOLAZA;256345.0;69014.0;260000.0;286.0;279.0;187.0;889.0;263.0;862.0;40
CUESTA COLORADA;LA CALERA;92891.0;44400.0;95000.0;627.0;265.0;633.0;784.0;185.0;765.0;57
CUMBRES;VILLA ALLENDE;144545.0;67211.0;135000.0;448.0;303.0;395.0;822.0;302.0;924.0;11
CUMBRES DEL GOLF;VILLA ALLENDE;168925.0;70909.0;170000.0;296.0;285.0;197.0;804.0;226.0;802.0;20
CUPANI;CORDOBA;54000.0;16371.0;50000.0;312.0;128.0;323.0;402.0;134.0;402.0;3
DEAN FUNES;CORDOBA;55556.0;17144.0;57500.0;313.0;190.0;272.0;452.0;123.0;450.0;18
DISTRITO SUR;CORDOBA;113056.0;2750.0;113056.0;457.0;210.0;457.0;871.0;318.0;871.0;2
DOCTA URBANIZACION INTELIGENTE;CORDOBA;102668.0;20089.0;102000.0;590.0;166.0;558.0;835.0;145.0;818.0;196
DON BOSCO;CORDOBA;92227.0;35633.0;87000.0;518.0;301.0;421.0;841.0;243.0;875.0;22
DUCASSE;CORDOBA;46571.0;13477.0;47000.0;598.0;228.0;705.0;677.0;244.0;609.0;7
EJERCITO ARGENTINO;CORDOBA;25000.0;0.0;25000.0;417.0;0.0;417.0;;;;2
EL BOSQUE;CORDOBA;514896.0;86022.0;500000.0;356.0;165.0;327.0;1270.0;301.0;1267.0;53
EL BOSQUE;LA CALERA;477667.0;73580.0;450000.0;400.0;257.0;333.0;1230.0;451.0;1248.0;9
EL CABILDO;CORDOBA;640000.0;;640000.0;320.0;;320.0;1882.0;;1882.0;1
EL CALICANTO;LA CALERA;350000.0;;350000.0;302.0;;302.0;1400.0;;1400.0;1
EL PUEBLITO;CORDOBA;35000.0;;35000.0;117.0;;117.0;175.0;;175.0;1
EL REFUGIO;CORDOBA;177136.0;54886.0;167450.0;543.0;352.0;407.0;876.0;171.0;891.0;14
EL RODEO;LA CALERA;300000.0;55678.0;290000.0;619.0;65.0;583.0;1335.0;198.0;1389.0;3
EL TALAR;MENDIOLAZA;153730.0;70469.0;144900.0;304.0;303.0;230.0;841.0;248.0;873.0;67
EL TREBOL;CORDOBA;112857.0;27667.0;110000.0;495.0;162.0;457.0;613.0;135.0;646.0;7
EMPALME;CORDOBA;81170.0;54374.0;66500.0;300.0;167.0;264.0;417.0;142.0;432.0;46
ESCOBAR;CORDOBA;123267.0;74693.0;105000.0;637.0;453.0;476.0;744.0;248.0;696.0;30
ESPANOL;VILLA ALLENDE;64380.0;25461.0;72000.0;423.0;403.0;360.0;666.0;320.0;673.0;5
ESTACION DEL CARMEN;MALAGUENO;205200.0;86998.0;189000.0;95.0;44.0;84.0;870.0;277.0;738.0;5
ESTACION FLORES;CORDOBA;39000.0;8287.0;38000.0;166.0;127.0;117.0;353.0;97.0;351.0;4
ESTANCIA EL TERRON;MENDIOLAZA;462857.0;89850.0;430000.0;468.0;216.0;410.0;1263.0;251.0;1238.0;28
ESTANCIA Q2;MENDIOLAZA;474438.0;131087.0;475000.0;439.0;219.0;381.0;1169.0;431.0;1121.0;32
FERRER;CORDOBA;48000.0;;48000.0;192.0;;192.0;369.0;;369.0;1
FERREYRA;CORDOBA;75600.0;38331.0;90000.0;182.0;74.0;176.0;306.0;94.0;330.0;5
FERROVIARIO MITRE;CORDOBA;49450.0;20474.0;46000.0;299.0;220.0;240.0;350.0;135.0;289.0;4
FINCAS DEL SUR I;CORDOBA;410523.0;76317.0;380000.0;225.0;26.0;221.0;1188.0;293.0;1071.0;17
FINCAS DEL SUR II;CORDOBA;391524.0;68973.0;410000.0;398.0;307.0;307.0;1113.0;148.0;1098.0;21
FONTANAS DEL SUR;CORDOBA;157362.0;36727.0;154500.0;2129.0;1410.0;1773.0;;;;16
FORTIN DEL POZO;CORDOBA;477471.0;56971.0;450000.0;394.0;493.0;220.0;1273.0;173.0;1277.0;17
GENERAL ARTIGAS;CORDOBA;112455.0;65727.0;90000.0;454.0;323.0;357.0;690.0;308.0;654.0;11
GENERAL BELGRANO;CORDOBA;43500.0;4950.0;43500.0;578.0;597.0;578.0;296.0;;296.0;2
GENERAL BUSTOS;CORDOBA;52938.0;21845.0;53000.0;350.0;195.0;307.0;376.0;123.0;390.0;55
GENERAL LAMADRID;CORDOBA;53000.0;;53000.0;188.0;;188.0;379.0;;379.0;1
GENERAL PAZ;CORDOBA;88373.0;46072.0;75000.0;1199.0;428.0;1180.0;791.0;318.0;733.0;889
GENERAL SAVIO;CORDOBA;45000.0;11804.0;48500.0;151.0;59.0;163.0;393.0;74.0;430.0;4
GENERAL URQUIZA;CORDOBA;205000.0;134350.0;205000.0;322.0;31.0;322.0;655.0;78.0;655.0;2
GOLF;VILLA ALLENDE;246362.0;89860.0;240000.0;369.0;414.0;237.0;983.0;308.0;954.0;160
GRANJA DE FUNES;CORDOBA;171443.0;75660.0;160000.0;465.0;296.0;378.0;2172.0;12716.0;765.0;91
GREENVILLE;CORDOBA;290867.0;117055.0;380000.0;486.0;274.0;319.0;1218.0;142.0;1267.0;15
GREENVILLE 2;CORDOBA;179849.0;26498.0;180000.0;986.0;207.0;974.0;1121.0;221.0;1094.0;119
GUAYAQUIL;CORDOBA;79000.0;;79000.0;316.0;;316.0;608.0;;608.0;1
