barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
PASO DE LOS ANDES;CORDOBA;138459.0;62228.0;133000.0;616.0;263.0;547.0;728.0;196.0;683.0;37
PATRIA;CORDOBA;142583.0;96537.0;144000.0;670.0;325.0;598.0;727.0;185.0;711.0;12
PATRICIOS;CORDOBA;46756.0;16195.0;45000.0;205.0;96.0;180.0;341.0;163.0;321.0;27
POETA LUGONES;CORDOBA;125390.0;34343.0;125000.0;547.0;334.0;512.0;852.0;254.0;816.0;78
POLICIAL;CORDOBA;60000.0;;60000.0;231.0;;231.0;429.0;;429.0;1
PORTAL DEL JACARANDA;CORDOBA;190000.0;;190000.0;253.0;;253.0;507.0;;507.0;1
PORTALES DEL SUR;CORDOBA;106500.0;12021.0;106500.0;557.0;137.0;557.0;739.0;22.0;739.0;2
PRADOS DE LA VILLA;CORDOBA;145000.0;;145000.0;276.0;;276.0;806.0;;806.0;1
PRADOS DE LA VILLA;VILLA ALLENDE;182000.0;38116.0;170000.0;492.0;294.0;427.0;1144.0;206.0;1151.0;15
PRADOS DE MANANTIALES;CORDOBA;119632.0;33110.0;113750.0;707.0;177.0;683.0;873.0;158.0;864.0;68
PRIMERA JUNTA;CORDOBA;90000.0;7071.0;90000.0;364.0;47.0;364.0;624.0;211.0;624.0;2
PRIMERO DE MAYO;CORDOBA;63185.0;42041.0;48000.0;229.0;163.0;179.0;402.0;217.0;353.0;13
PROVIDENCIA;CORDOBA;64649.0;42503.0;49750.0;792.0;299.0;839.0;575.0;162.0;598.0;82
PUENTE BLANCO;CORDOBA;62843.0;14375.0;68000.0;610.0;424.0;729.0;440.0;80.0;450.0;7
PUEYRREDON;CORDOBA;60630.0;39110.0;48000.0;580.0;320.0;588.0;455.0;210.0;406.0;196
QUEBRADA DE LAS ROSAS;CORDOBA;127686.0;97883.0;105000.0;680.0;393.0;560.0;743.0;209.0;733.0;83
QUEBRADAS DE MANANTIALES;CORDOBA;86500.0;9192.0;86500.0;680.0;91.0;680.0;816.0;102.0;816.0;2
QUINTA DE LOS NORES;CORDOBA;320000.0;170880.0;300000.0;634.0;457.0;500.0;1360.0;458.0;1468.0;3
QUINTAS DE ARGUELLO;CORDOBA;144258.0;71744.0;140000.0;320.0;122.0;320.0;736.0;198.0;740.0;31
QUINTAS DE FLORES;CORDOBA;281800.0;30186.0;299000.0;233.0;132.0;199.0;1054.0;259.0;1120.0;5
QUINTAS DE INAUDI;CORDOBA;450000.0;;450000.0;178.0;;178.0;1084.0;;1084.0;1
QUINTAS DE SANTA ANA;CORDOBA;138119.0;54300.0;130000.0;691.0;206.0;665.0;825.0;219.0;820.0;21
RAMON J. CARCANO;CORDOBA;65000.0;;65000.0;158.0;;158.0;650.0;;650.0;1
REMEDIOS DE ESCALADA;CORDOBA;55000.0;28284.0;55000.0;315.0;96.0;315.0;;;;2
RENACIMIENTO;CORDOBA;38000.0;;38000.0;148.0;;148.0;284.0;;284.0;1
RESIDENCIAL AMERICA;CORDOBA;69723.0;28604.0;60000.0;381.0;248.0;286.0;509.0;172.0;478.0;43
RESIDENCIAL CHATEAU CARRERAS;CORDOBA;117500.0;3536.0;117500.0;1369.0;149.0;1369.0;;;;2
RESIDENCIAL OESTE;CORDOBA;60000.0;0.0;60000.0;231.0;0.0;231.0;250.0;0.0;250.0;2
RESIDENCIAL OLIVOS;CORDOBA;50000.0;;50000.0;167.0;;167.0;333.0;;333.0;1
RESIDENCIAL SAN CARLOS;CORDOBA;83896.0;34220.0;86975.0;531.0;582.0;357.0;572.0;162.0;512.0;14
RESIDENCIAL SAN JOSE;CORDOBA;110000.0;;110000.0;550.0;;550.0;917.0;;917.0;1
RESIDENCIAL SAN ROQUE;CORDOBA;50000.0;39051.0;30000.0;201.0;203.0;120.0;353.0;68.0;316.0;3
RESIDENCIAL SANTA ANA;CORDOBA;84763.0;29419.0;82000.0;845.0;532.0;777.0;534.0;90.0;500.0;22
RESIDENCIAL SANTA ROSA;CORDOBA;80000.0;;80000.0;374.0;;374.0;;;;1
RESIDENCIAL SUD;CORDOBA;69000.0;12728.0;69000.0;247.0;9.0;247.0;381.0;80.0;381.0;2
RESIDENCIAL VELEZ SARFIELD;CORDOBA;112795.0;41904.0;107500.0;548.0;255.0;470.0;689.0;221.0;680.0;42
RIBERAS DE MANANTIALES;CORDOBA;259000.0;51889.0;290000.0;2872.0;3805.0;1333.0;1150.0;82.0;1150.0;5
RINCON DE MANANTIALES;CORDOBA;95000.0;8660.0;90000.0;716.0;161.0;720.0;763.0;68.0;763.0;3
RIVADAVIA;CORDOBA;77544.0;56192.0;65000.0;316.0;246.0;237.0;444.0;184.0;361.0;18
RIVERA INDARTE;CORDOBA;144548.0;49600.0;130000.0;487.0;355.0;303.0;777.0;242.0;753.0;29
ROCIO DEL SUR;CORDOBA;420000.0;;420000.0;280.0;;280.0;1200.0;;1200.0;1
ROGELIO MARTINEZ;CORDOBA;237484.0;85633.0;230000.0;829.0;249.0;760.0;1132.0;262.0;1155.0;31
ROSEDAL;CORDOBA;96444.0;52613.0;80000.0;352.0;173.0;288.0;586.0;304.0;538.0;27
SAN ALFONSO;VILLA ALLENDE;168025.0;60733.0;151500.0;375.0;252.0;364.0;936.0;258.0;939.0;36
SAN ALFONSO I;VILLA ALLENDE;228625.0;38615.0;249000.0;414.0;148.0;480.0;1115.0;204.0;1043.0;8
SAN ALFONSO II;VILLA ALLENDE;228333.0;37639.0;247500.0;408.0;45.0;412.0;1119.0;168.0;1156.0;6
SAN ANTONIO;CORDOBA;147000.0;121122.0;89000.0;464.0;579.0;220.0;857.0;267.0;986.0;5
SAN CARLOS;CORDOBA;113843.0;110137.0;85000.0;456.0;385.0;330.0;735.0;382.0;623.0;14
SAN CAYETANO;CORDOBA;50000.0;5657.0;50000.0;263.0;30.0;263.0;309.0;;309.0;2
SAN DANIEL;CORDOBA;98250.0;24541.0;86500.0;446.0;99.0;446.0;762.0;107.0;773.0;4
SAN FELIPE;CORDOBA;52500.0;3536.0;52500.0;180.0;4.0;180.0;382.0;245.0;382.0;2
SAN FERNANDO;CORDOBA;85410.0;41897.0;75000.0;578.0;501.0;416.0;670.0;276.0;633.0;40
SAN FRANCISCO;CORDOBA;95312.0;31716.0;92500.0;698.0;396.0;557.0;639.0;219.0;619.0;16
SAN IGNACIO;CORDOBA;99903.0;33696.0;100000.0;531.0;203.0;606.0;785.0;192.0;811.0;31
SAN IGNACIO VILLAGE;CORDOBA;126286.0;34827.0;120000.0;659.0;97.0;694.0;937.0;223.0;1089.0;7
SAN ISIDRO;CORDOBA;260462.0;187990.0;290000.0;470.0;285.0;357.0;886.0;223.0;847.0;13
SAN ISIDRO;VILLA ALLENDE;344526.0;120505.0;345000.0;446.0;236.0;381.0;1092.0;237.0;1112.0;57
SAN JAVIER;CORDOBA;32500.0;3536.0;32500.0;130.0;15.0;130.0;320.0;19.0;320.0;2
SAN JOSE;CORDOBA;166100.0;62989.0;160000.0;460.0;242.0;392.0;947.0;317.0;993.0;10
SAN LORENZO;CORDOBA;54667.0;23838.0;54500.0;192.0;104.0;166.0;368.0;105.0;357.0;6
SAN MARCELO;CORDOBA;159900.0;;159900.0;444.0;;444.0;;;;1
SAN MARTIN;CORDOBA;55687.0;47615.0;40600.0;619.0;282.0;625.0;486.0;174.0;486.0;178
SAN MARTIN NORTE;CORDOBA;72222.0;52356.0;45000.0;352.0;283.0;232.0;483.0;222.0;430.0;9
SAN NICOLAS;CORDOBA;80688.0;55911.0;61000.0;277.0;181.0;222.0;510.0;215.0;520.0;8
SAN PABLO;CORDOBA;79344.0;29765.0;80000.0;450.0;280.0;375.0;516.0;220.0;533.0;20
SAN RAFAEL;CORDOBA;81300.0;25082.0;77500.0;413.0;278.0;278.0;551.0;178.0;577.0;10
SAN ROQUE;CORDOBA;40000.0;7071.0;40000.0;171.0;77.0;171.0;412.0;;412.0;2
SAN SALVADOR;CORDOBA;132133.0;39329.0;139500.0;977.0;2008.0;598.0;1137.0;2230.0;773.0;60
SAN VICENTE;CORDOBA;54786.0;36955.0;46000.0;451.0;264.0;408.0;416.0;216.0;346.0;115
SANTA ANA;CORDOBA;130000.0;91924.0;130000.0;623.0;790.0;623.0;;;;2
SANTA CATALINA;CORDOBA;110000.0;;110000.0;336.0;;336.0;553.0;;553.0;1
SANTA CECILIA;CORDOBA;72000.0;4243.0;72000.0;234.0;22.0;234.0;514.0;137.0;514.0;2
SANTA CLARA DE ASIS;CORDOBA;81667.0;7638.0;80000.0;306.0;55.0;308.0;660.0;64.0;625.0;3
SANTA ISABEL;CORDOBA;80364.0;70418.0;59000.0;226.0;115.0;200.0;474.0;232.0;458.0;33
SANTA RITA;CORDOBA;168300.0;50122.0;150000.0;809.0;295.0;865.0;832.0;96.0;832.0;3
SANTINA NORTE;CORDOBA;386071.0;78620.0;395000.0;745.0;195.0;698.0;1201.0;206.0;1215.0;42
SARGENTO CABRAL;CORDOBA;45738.0;24027.0;39950.0;206.0;165.0;154.0;303.0;145.0;236.0;8
SARMIENTO;CORDOBA;69538.0;36152.0;59000.0;272.0;147.0;239.0;503.0;187.0;415.0;13
SEP;CORDOBA;28500.0;;28500.0;238.0;;238.0;;;;1
SIETE SOLES;CORDOBA;263430.0;73449.0;288000.0;548.0;261.0;483.0;1133.0;329.0;1079.0;64
SILVANO FUNES;CORDOBA;107500.0;3536.0;107500.0;280.0;175.0;280.0;429.0;100.0;429.0;2
SMATA;CORDOBA;87000.0;22793.0;90000.0;355.0;84.0;371.0;600.0;153.0;633.0;9
SMATA II;CORDOBA;108714.0;37089.0;115000.0;508.0;196.0;520.0;836.0;175.0;788.0;7
SOLARES DE MANANTIALES;CORDOBA;116375.0;26646.0;125000.0;729.0;146.0;692.0;1028.0;162.0;1063.0;8
SOLARES DE SAN ALFONSO;VILLA ALLENDE;300214.0;80171.0;282500.0;408.0;120.0;380.0;1118.0;217.0;1073.0;14
SOLARES DE SANTA MARIA;CORDOBA;165538.0;42239.0;180000.0;654.0;146.0;655.0;1037.0;215.0;1000.0;13
SOLARES DEL SUR;CORDOBA;148000.0;46872.0;135000.0;535.0;246.0;588.0;630.0;252.0;750.0;3
STOECKLIN;LA CALERA;86660.0;50511.0;70000.0;265.0;159.0;238.0;696.0;343.0;690.0;10
SUAREZ;CORDOBA;25500.0;3536.0;25500.0;129.0;50.0;129.0;177.0;19.0;177.0;2
TABLADA PARK;CORDOBA;204872.0;113712.0;154500.0;518.0;259.0;387.0;828.0;327.0;833.0;32
TALLERES ESTE;CORDOBA;56464.0;32389.0;45000.0;314.0;199.0;283.0;405.0;143.0;400.0;28
TALLERES OESTE;CORDOBA;61032.0;32237.0;50000.0;322.0;153.0;277.0;399.0;125.0;382.0;25
TALLERES SUD;CORDOBA;46700.0;17526.0;39950.0;219.0;146.0;154.0;400.0;343.0;400.0;4
TEJAS 1;CORDOBA;229471.0;65611.0;227500.0;1003.0;432.0;943.0;1085.0;228.0;1076.0;34
TEJAS 2;CORDOBA;237124.0;69858.0;240000.0;859.0;244.0;859.0;1176.0;216.0;1121.0;54
TEJAS 3;CORDOBA;240556.0;57775.0;242500.0;482.0;139.0;442.0;1077.0;272.0;1000.0;18
TEJAS 4;CORDOBA;152556.0;44354.0;165000.0;531.0;278.0;514.0;862.0;140.0;873.0;9
TENIENTE BENJ. MATIENZO;CORDOBA;59725.0;35734.0;49500.0;296.0;109.0;289.0;474.0;99.0;456.0;4
TEODORO FELDS;CORDOBA;80273.0;36050.0;68000.0;1145.0;199.0;1104.0;1250.0;;1250.0;11
TERRANOVA;CORDOBA;118000.0;114355.0;55000.0;1046.0;446.0;1225.0;906.0;;906.0;3
TERRAZAS DE LA ESTANZUELA;LA CALERA;170726.0;49379.0;159000.0;637.0;341.0;506.0;962.0;254.0;1000.0;31
TERRAZAS DE MANANTIALES;CORDOBA;151500.0;23335.0;151500.0;636.0;51.0;636.0;812.0;16.0;812.0;2
TERRAZAS DE OHIGGINS;CORDOBA;145000.0;;145000.0;1908.0;;1908.0;;;;1
TERRAZAS DE VILLA ALLENDE;VILLA ALLENDE;186250.0;34718.0;180000.0;313.0;71.0;310.0;847.0;71.0;856.0;8
TRANVIARIOS;CORDOBA;48667.0;10970.0;45000.0;199.0;60.0;171.0;443.0;210.0;336.0;3
UNQUILLO;LAS CORZUELAS;114667.0;60169.0;125000.0;219.0;78.0;205.0;809.0;345.0;625.0;3
UOCRA;CORDOBA;75200.0;59550.0;45000.0;240.0;205.0;186.0;374.0;170.0;326.0;5
URCA;CORDOBA;212284.0;83903.0;198000.0;715.0;411.0;600.0;941.0;220.0;895.0;198
URQUIZA;CORDOBA;39273.0;18757.0;32000.0;366.0;205.0;448.0;344.0;58.0;320.0;11
VALLE CERCANO;CORDOBA;65985.0;25561.0;58000.0;452.0;205.0;392.0;642.0;205.0;614.0;40
VALLE DEL CERRO;CORDOBA;190470.0;67291.0;219900.0;758.0;510.0;575.0;1011.0;328.0;950.0;10
VALLE DEL GOLF;MALAGUENO;204586.0;50401.0;199000.0;421.0;371.0;277.0;904.0;273.0;933.0;37
VALLE DEL SOL;MENDIOLAZA;144647.0;48647.0;130000.0;153.0;68.0;140.0;751.0;311.0;743.0;17
VALLE ESCONDIDO;CORDOBA;305870.0;111808.0;310000.0;793.0;490.0;625.0;1216.0;259.0;1184.0;225
VEINTE DE JUNIO;CORDOBA;63609.0;26154.0;49000.0;239.0;95.0;217.0;419.0;51.0;437.0;11
VICOR;CORDOBA;44333.0;16921.0;40000.0;334.0;168.0;331.0;618.0;336.0;488.0;3
VIEJO ALGARROBO;CORDOBA;369000.0;66933.0;380000.0;246.0;45.0;253.0;1090.0;113.0;1058.0;5
VILLA 9 DE JULIO;CORDOBA;45000.0;;45000.0;64.0;;64.0;352.0;;352.0;1
VILLA ADELA;CORDOBA;40300.0;10965.0;41500.0;201.0;101.0;169.0;347.0;114.0;325.0;10
VILLA ALBERDI;CORDOBA;66375.0;26443.0;57500.0;940.0;500.0;1117.0;571.0;;571.0;4
VILLA ALLENDE;CABANA DEL PILAR;165000.0;;165000.0;330.0;;330.0;550.0;;550.0;1
VILLA ALLENDE PARQUE;CORDOBA;166942.0;124778.0;119990.0;302.0;214.0;228.0;767.0;357.0;649.0;28
VILLA ALLENDE PARQUE;VILLA ALLENDE;119650.0;78538.0;87500.0;252.0;204.0;164.0;733.0;160.0;796.0;20
VILLA ARGENTINA;CORDOBA;142060.0;57309.0;140000.0;563.0;195.0;498.0;675.0;187.0;688.0;15
VILLA AZALAIS;CORDOBA;67333.0;50904.0;55000.0;213.0;82.0;186.0;314.0;106.0;292.0;9
VILLA BELGRANO;CORDOBA;233903.0;91307.0;220000.0;789.0;553.0;646.0;1064.0;317.0;1045.0;406
VILLA BUSTOS;CORDOBA;39000.0;;39000.0;100.0;;100.0;390.0;;390.0;1
VILLA CABRERA;CORDOBA;122813.0;53696.0;110000.0;532.0;309.0;469.0;744.0;248.0;706.0;99
VILLA CARLOS PAZ;CABANA DEL PILAR;165000.0;;165000.0;61.0;;61.0;825.0;;825.0;1
VILLA CARLOS PAZ;SAN MARTIN NORTE;115000.0;;115000.0;230.0;;230.0;1150.0;;1150.0;1
VILLA CATALINA;RIO CEBALLOS;130570.0;32773.0;123500.0;364.0;173.0;309.0;867.0;175.0;871.0;61
VILLA CENTENARIO;CORDOBA;160812.0;68459.0;150000.0;444.0;157.0;415.0;788.0;172.0;767.0;16
VILLA CLARET;CORDOBA;124471.0;38389.0;124000.0;635.0;416.0;664.0;816.0;304.0;776.0;7
VILLA CLAUDINA;CORDOBA;42000.0;;42000.0;167.0;;167.0;519.0;;519.0;1
VILLA CORINA;CORDOBA;51667.0;27538.0;50000.0;184.0;71.0;193.0;311.0;83.0;278.0;3
VILLA CORNU;CORDOBA;80000.0;42622.0;70000.0;349.0;299.0;324.0;655.0;354.0;812.0;4
VILLA CORONEL OLMEDO;CORDOBA;164667.0;203962.0;55000.0;130.0;34.0;122.0;686.0;754.0;257.0;3
VILLA EL LIBERTADOR;CORDOBA;47600.0;24816.0;41000.0;219.0;97.0;224.0;286.0;144.0;234.0;10
VILLA ESQUIU;CORDOBA;102778.0;62247.0;75000.0;319.0;227.0;196.0;647.0;233.0;660.0;9
VILLA EUCARISTICA;CORDOBA;263333.0;129454.0;215000.0;393.0;482.0;137.0;1107.0;283.0;1269.0;3
VILLA LOS ANGELES;CORDOBA;148000.0;;148000.0;392.0;;392.0;740.0;;740.0;1
VILLA LOS PARAISOS;LA CALERA;90000.0;22935.0;86000.0;512.0;358.0;492.0;519.0;49.0;522.0;4
VILLA MAFEKIN;CORDOBA;40000.0;;40000.0;186.0;;186.0;312.0;;312.0;1
VILLA MARTA;CORDOBA;119500.0;20388.0;125000.0;412.0;66.0;400.0;825.0;172.0;765.0;14
VILLA PAEZ;CORDOBA;51000.0;15323.0;47500.0;385.0;203.0;324.0;423.0;79.0;446.0;6
VILLA PARQUE SIQUIMAN;LA PANKANA;160000.0;;160000.0;275.0;;275.0;904.0;;904.0;1
VILLA QUIZQUIZACATE;CORDOBA;123885.0;27675.0;130000.0;320.0;106.0;312.0;782.0;189.0;757.0;13
VILLA REVOL;CORDOBA;59556.0;23612.0;55000.0;628.0;371.0;576.0;537.0;153.0;575.0;9
VILLA RIVERA INDARTE;CORDOBA;130285.0;59508.0;120000.0;366.0;286.0;243.0;781.0;283.0;811.0;82
VILLA SALDAN;CORDOBA;84667.0;56616.0;54000.0;330.0;254.0;294.0;548.0;166.0;600.0;3
VILLA SAN CARLOS;CORDOBA;350000.0;353553.0;350000.0;146.0;5.0;146.0;423.0;457.0;423.0;2
VILLA SIBURU;CORDOBA;110333.0;39958.0;105000.0;1538.0;319.0;1515.0;;;;6
VILLA SOL;CORDOBA;70611.0;26675.0;59500.0;1051.0;150.0;1053.0;;;;18
VILLA URQUIZA;CORDOBA;69000.0;24262.0;59500.0;988.0;442.0;1135.0;;;;4
VILLA WARCALDE;CORDOBA;271318.0;106777.0;280000.0;581.0;340.0;562.0;1140.0;218.0;1143.0;85
VIVERO NORTE;CORDOBA;60000.0;;60000.0;213.0;;213.0;;;;1
YAPEYU;CORDOBA;46363.0;18795.0;40000.0;263.0;114.0;242.0;312.0;76.0;309.0;19
YOFRE H;CORDOBA;35000.0;;35000.0;139.0;;139.0;;;;1
YOFRE I;CORDOBA;48980.0;7208.0;49900.0;229.0;106.0;194.0;423.0;90.0;430.0;5
YOFRE NORTE;CORDOBA;66769.0;30324.0;55000.0;422.0;245.0;400.0;529.0;145.0;522.0;13
YOFRE SUD;CORDOBA;63467.0;33111.0;59000.0;278.0;166.0;236.0;411.0;190.0;336.0;18
ZUMARAN;CORDOBA;59838.0;18443.0;58500.0;432.0;436.0;294.0;495.0;131.0;507.0;16
