id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
4892181;DEPARTAMENTO;95000;14-08-2023;INMOBILIARIA;110;-1;2;3;-1;CENTRO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4892181/semi-piso-zona-de-patio-olmos
4940353;CASA;129000;14-08-2023;INMOBILIARIA;342;287;3;2;2;CERRO CHICO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/4940353/casa-2-departamentos-cerro-chico
5094306;CASA;82000;14-08-2023;INMOBILIARIA;275;146;3;2;1;COLINAS DE V. SARSFIELD;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5094306/casa-3-dorm-gran-patio-reciclada-colinas-de-velez-sarsfield
5107380;CASA;550000;14-08-2023;INMOBILIARIA;1500;420;4;4;3;LA CASCADA COUNTRY GOLF;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5107380/cascada-ubicacion-privilegiada
5098095;CASA;140000;14-08-2023;INMOBILIARIA;300;180;3;3;1;GRANJA DE FUNES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5098095/granja-de-funes-hermosa-casa-3-dormitorios-impecable-estado
5056780;DEPARTAMENTO;110000;14-08-2023;INMOBILIARIA;59;-1;1;1;1;CHATEAU CARRERAS;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5056780/exclusivo-dpto-1-dorm-amplio-balcon-casador-cochera-full-amenities
5071878;CASA;90000;14-08-2023;INMOBILIARIA;125;126;3;2;-1;RINCON DE MANANTIALES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5071878/rincones-de-manantiales-hermoso-triplex-terraza-casador
5097952;DEPARTAMENTO;76000;14-08-2023;INMOBILIARIA;90;-1;3;1;1;BALCONES DEL CHATEU;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5097952/balcones-del-chateau-3-dormitorios-con-cochera-hermoso
4844413;DEPARTAMENTO;149000;14-08-2023;INMOBILIARIA;-1;-1;3;3;2;NUEVO POETA LUGONES;CORDOBA;-31.360776;-64.20869;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4844413/en-mejor-zona-de-nueva-poeta-lugones-duplex-casa-de-3-dormitorios-premi
5060395;DEPARTAMENTO;110000;14-08-2023;INMOBILIARIA;95;-1;2;2;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5060395/%E2%9C%AD-corazon-de-general-paz-frente-%E2%9C%AD
4992742;DEPARTAMENTO;35000;14-08-2023;INMOBILIARIA;50;-1;1;1;-1;OBSERVATORIO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4992742/oportunidad-depto-1-dorm-planta-baja-con-patio
4576886;DEPARTAMENTO;71000;14-08-2023;INMOBILIARIA;58;-1;1;1;-1;LAS ROSAS;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4576886/%E2%9C%AD%E2%9C%AD-opera-park-financiacion-en-pesos-%E2%9C%AD%E2%9C%AD
4819167;DEPARTAMENTO;65000;14-08-2023;INMOBILIARIA;48;-1;1;1;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4819167/b%C2%B0-general-paz-1-dormitorio-muy-grande-opcion-cochera
4606040;DEPARTAMENTO;127000;14-08-2023;INMOBILIARIA;125;-1;3;3;-1;NUEVA CORDOBA;CORDOBA;-31.424851;-64.187961;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4606040/independencia-700-semipiso-3-dormitorios-con-balcon-departamento-venta-
5072180;CASA;108000;14-08-2023;INMOBILIARIA;125;115;3;2;2;MANANTIALES;CORDOBA;-31.452389;-64.256113;True;https://clasificados.lavoz.com.ar/avisos/casas/5072180/duplex-en-venta-2-dorm-miradores-de-manantiales-ii
5095084;DEPARTAMENTO;55000;14-08-2023;INMOBILIARIA;60;-1;2;1;-1;COFICO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5095084/rivera-indarte-1400-2-dorm-amplio-luminoso-departamento-venta-cofico
5081782;DEPARTAMENTO;85000;14-08-2023;INMOBILIARIA;80;-1;2;2;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5081782/general-paz-dpto-2-dorm-2-banos-balcon-terraza-frente
5091884;CASA;129000;14-08-2023;INMOBILIARIA;285;193;3;2;2;PARQUE CAPITAL;CORDOBA;-31.431414;-64.212087;True;https://clasificados.lavoz.com.ar/avisos/casas/5091884/impecable-primer-nivel-3-dorm-pileta
5082445;DEPARTAMENTO;112500;14-08-2023;INMOBILIARIA;1;-1;2;2;1;SAN ISIDRO;VILLA ALLENDE;-31.297362;-64.290369;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5082445/apto-credito-bancor-depto-2-dormitorios-cochera-complejo-cerrdao-san-is
5107676;DEPARTAMENTO;55000;14-08-2023;INMOBILIARIA;45;-1;1;1;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5107676/nuevo-emprendimiento-premium-en-b%C2%B0-gral-paz
5108503;DEPARTAMENTO;115000;14-08-2023;INMOBILIARIA;80;-1;2;2;1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5108503/b%C2%B0-gral-paz-dpto-2-dorm-a-estrenar-con-amplio-balcon
4576889;DEPARTAMENTO;110000;14-08-2023;INMOBILIARIA;93;-1;2;2;-1;LAS ROSAS;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4576889/%E2%9C%AD%E2%9C%AD-opera-park-financiacion-en-pesos-%E2%9C%AD%E2%9C%AD
5108465;CASA;80000;14-08-2023;INMOBILIARIA;250;250;3;1;1;ALTO ALBERDI;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5108465/alberdi-casa-3-dorm-con-patio-y-galpon
